Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Collision Type,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make
MCP31930055,230068950,Montgomery County Police,Injury Crash,11/29/2023 15:48,SAME DIRECTION SIDESWIPE,A1321012-D91D-408B-83F0-A8CABED47A4D,Unknown,POSSIBLE INJURY,N/A,UNKNOWN,MD,D8AC47B4-02E3-45CA-91DB-6763DAE41DEF,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,2013,INFI
MCP2270001X,230047929,Montgomery County Police,Property Damage Crash,8/5/2023 10:25,SAME DIR REAR END,456AA9A3-72BD-468B-9870-B7B61D4599EE,No,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",NOT DISTRACTED,MD,AC9A2A0A-4903-43A1-940F-98823542CF3C,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,35,2002,LNDR
MCP2821002Z,230048146,Montgomery County Police,Injury Crash,8/6/2023 22:20,STRAIGHT MOVEMENT ANGLE,16AE97F9-1EA1-4A43-B1E0-2723BA9E3A03,No,POSSIBLE INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,17C46098-36D0-4C10-9C0F-865C0FA26F7E,DISABLING,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,2017,HYUNDAI
MCP2739002K,190045361,Montgomery County Police,Property Damage Crash,9/21/2019 23:44,SAME DIR REND RIGHT TURN,8FB7701F-3C89-4124-969B-B7BC722CB8DB,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F2D932B1-106D-4340-8A0D-99AA252EBAC4,FUNCTIONAL,FIVE OCLOCK,TRANSIT BUS,MAKING RIGHT TURN,East,25,2009,GILLIG
EJ78980015,230055913,Gaithersburg Police Depar,Injury Crash,9/20/2023 12:25,SAME DIR REAR END,B4A1F768-89E1-48D3-BBFD-F36ABE354976,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,55DD908E-46F0-486B-8950-ABB50EB1D725,UNKNOWN,TWELVE OCLOCK,UNKNOWN,CHANGING LANES,West,35,0,UNKNOWN
MCP2450004L,230048433,Montgomery County Police,Injury Crash,8/8/2023 16:58,STRAIGHT MOVEMENT ANGLE,C99B1235-89D0-4EED-B264-F435C21031FD,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,38B9775B-DA21-41C3-BE43-89E8F7BD670D,DISABLING,ELEVEN OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,35,2022,TOYOTA
MCP2456007Q,230053740,Montgomery County Police,Property Damage Crash,9/8/2023 6:45,SAME DIRECTION RIGHT TURN,C578C6E5-2F63-4671-A0B1-72E325AD0B28,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,5B4B000C-8E89-486B-9115-312B8C81F1C2,SUPERFICIAL,TWO OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,North,40,2020,UNKNOWN
DM85150008,230068434,Takoma Park Police Depart,Property Damage Crash,11/27/2023 0:54,SINGLE VEHICLE,2744484C-1583-4D49-A47E-32C2516A6191,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,XX,7708F487-1FA2-4AD7-8D9F-61BB60CCD346,SUPERFICIAL,TWO OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,South,25,2015,HONDA
MCP26080055,230046873,Montgomery County Police,Injury Crash,7/29/2023 21:11,SAME DIR REAR END,D24E9971-11A9-42A8-992B-CF0B3D697B83,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F0C5DBC4-FBFE-43B8-B744-CA5F596B3F52,DISABLING,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,35,2015,TOYOTA
MCP27030036,230058532,Montgomery County Police,Property Damage Crash,10/4/2023 16:43,STRAIGHT MOVEMENT ANGLE,9EB1B860-821E-4DDA-8C22-CB9576C82BA0,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,780F4413-9675-445D-8FED-0B3FABA46168,SUPERFICIAL,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,0,2015,NISSAN
MCP3150000L,180050037,Montgomery County Police,Injury Crash,10/6/2018 16:29,HEAD ON LEFT TURN,9348567E-D4B2-44A7-8A74-D2CB2C7CF20A,No,SUSPECTED MINOR INJURY,N/A,UNKNOWN,MD,8E1ADA45-1F1E-456A-A6F7-4663C6347B66,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,2004,SUBARU
HA23250003,23002427,Maryland-National Capital,Property Damage Crash,12/28/2023 20:15,SINGLE VEHICLE,B9C4F4F2-A02C-4435-982A-8EC76EDA8153,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,474B7971-9DCE-4FC4-BF5B-3144281C3E51,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25,2021,HONDA
MCP2941004Q,230032042,Montgomery County Police,Property Damage Crash,8/3/2023 13:13,OTHER,40978A98-1D83-408D-A395-75F40EA55F05,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,7DD13237-AF9E-453C-A7B1-39D7DAB15C7A,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,PARKED,,10,2003,MERZ
MCP9390002K,230058133,Montgomery County Police,Property Damage Crash,10/2/2023 17:06,SAME DIR REAR END,5BCB551A-90A7-4C29-95B1-6E378358B3CD,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,9AD86835-B322-4BFA-9593-245B2896C8CA,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,0,2008,GMC
MCP3317001B,230058184,Montgomery County Police,Property Damage Crash,10/2/2023 21:47,OTHER,F5084C68-617D-4611-8184-DD3BCA103079,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,8D1762FE-2414-4C50-BF08-DA9512D79DD5,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,15,1998,TOYT
MCP2895002Y,230034240,Montgomery County Police,Property Damage Crash,7/18/2023 16:30,SAME DIRECTION RIGHT TURN,745BF56E-DD02-4351-B52F-09245682B2E6,Unknown,NO APPARENT INJURY,N/A,NOT DISTRACTED,WV,E6777A9A-7BEE-4880-8C3D-7333E22EC548,NO DAMAGE,FIVE OCLOCK,PASSENGER CAR,ACCELERATING,North,25,2009,WAB
MCP3220004D,230066940,Montgomery County Police,Injury Crash,11/17/2023 17:25,HEAD ON LEFT TURN,4C8B5E74-B0E0-482F-8299-58074EAD9D41,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,D714FDBC-9B0D-4725-A679-5C2C0BAA6166,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,40,2019,TOYOTA
MCP3048003F,180038090,Montgomery County Police,Property Damage Crash,8/1/2018 9:36,SAME DIR REAR END,BA952BE1-B3A9-4B7E-BA2E-E618802B73A8,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,PA,ED996434-39E4-4231-9444-DE663470B93B,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,30,2006,SATURN
MCP2923009M,230047739,Montgomery County Police,Property Damage Crash,8/4/2023 7:12,SAME DIR REAR END,6BE7566E-5E4B-42C5-9A11-10C2719FA541,No,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,MD,FF105334-988C-4C3D-9FB3-3ABB1DA0124D,DISABLING,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,35,2016,HONDA
EJ7898000Z,230053963,Gaithersburg Police Depar,Property Damage Crash,9/9/2023 12:18,SAME DIR REAR END,0B36427D-71E3-4587-85DE-19BAE0043EFC,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4D57DD9D-49CF-4B97-A168-A9008ABEAC6C,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,1998,JAGU
MCP30850041,230048909,Montgomery County Police,Property Damage Crash,8/11/2023 12:50,SAME DIR REAR END,2F808864-8F1F-4AC9-913A-712A211E9ADB,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,086F8CB1-5CA0-41EC-9108-C8DAD5B91B94,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,2013,LEXUS
MCP33470018,230059522,Montgomery County Police,Property Damage Crash,10/9/2023 17:30,SAME DIR REAR END,FCF3AC11-2F9B-4D57-AAC5-E5BB45FE1762,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,72C64C05-4C0E-43FB-A368-BE15406841C1,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,PARKED,,0,2006,HONDA
MCP2564003K,230051727,Montgomery County Police,Injury Crash,8/27/2023 21:58,STRAIGHT MOVEMENT ANGLE,A37F9637-4281-4132-9B73-1194215F956D,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,6DA24995-CDDE-4466-8189-7A7277D9FCB7,DISABLING,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,35,2009,HONDA
MCP33620024,230065513,Montgomery County Police,Property Damage Crash,11/10/2023 7:08,OPPOSITE DIR BOTH LEFT TURN,BF14EF75-9ECB-4C80-A4F8-7EECDFFD58CA,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,A35DBA31-8E8C-4220-8B79-3B780BEF6261,SUPERFICIAL,SEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,25,2021,TOYT
MCP3145003S,230049356,Montgomery County Police,Property Damage Crash,8/14/2023 10:00,SAME DIRECTION LEFT TURN,A1906B83-706C-4EFC-BC7C-193410B1DA33,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,77D819CF-3F9D-4EA8-B96D-34559DC32DF3,FUNCTIONAL,SEVEN OCLOCK,POLICE VEHICLE/EMERGENCY,CHANGING LANES,West,35,2018,FORD
DM8479000T,210020119,Takoma Park Police Depart,Property Damage Crash,5/27/2021 19:40,OTHER,E71C7734-35DE-46D3-B8ED-1AE52319434D,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,,507C8AA4-646C-4AF5-9A8C-EF5405AD9960,UNKNOWN,ELEVEN OCLOCK,PASSENGER CAR,STARTING FROM PARKED,North,5,2014,TOYOTA
MCP3238002R,230055381,Montgomery County Police,Injury Crash,9/17/2023 13:42,HEAD ON LEFT TURN,38E4DCFA-C3CF-4D1F-9C81-727E33F337BE,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2D1858C0-49A6-4ABC-B210-16E20F3D5966,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,35,2019,LEXS
MCP295400DK,230050755,Montgomery County Police,Injury Crash,8/22/2023 18:34,SAME DIR REAR END,112493CF-8200-432D-A758-C39EC525A2CD,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,A4C1CE50-FD84-4FC7-9466-043B9838491A,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,40,2004,NISSAN
MCP235800BW,230062610,Montgomery County Police,Injury Crash,10/26/2023 6:30,STRAIGHT MOVEMENT ANGLE,D24833D0-3575-4C9F-B462-59CC82FBAFB6,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,EFF778AF-15FB-4EDD-89A7-AF86B1F36286,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,2012,HYUNDAI
DM85030015,230069170,Takoma Park Police Depart,Injury Crash,11/30/2023 17:18,OTHER,ECF1F14A-865E-41A2-BD20-A5D0BF89934B,Unknown,POSSIBLE INJURY,N/A,UNKNOWN,MD,9EDD8EA7-E05F-4C35-8004-A4F797920AE1,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,2018,NISSAN
DD5628005M,230061055,Rockville Police Departme,Property Damage Crash,10/17/2023 12:30,SAME DIR REAR END,F9132AB2-C1B1-4EE1-B1FB-4D38AC4BCA44,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A04F807F-7648-41A6-84C5-022B5BA46606,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,30,2007,HOND
MCP2656006Z,230029328,Montgomery County Police,Property Damage Crash,6/18/2023 19:30,OTHER,0BD7F4DA-D4FB-4381-8D94-53A0D44B5C1F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,D0A69518-CB8E-4266-8967-52DEC2CD25A8,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,PARKED,,10,2022,TOYT
DM8462000B,180014054,Takoma Park Police Depart,Property Damage Crash,3/21/2018 12:56,STRAIGHT MOVEMENT ANGLE,AF278241-20F1-4DC3-8D09-86F60DE131F8,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,FDD60FF6-2479-48C1-8AD4-F368DEC08C0D,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,2006,TOYT
MCP31150070,230064398,Montgomery County Police,Property Damage Crash,11/4/2023 12:40,OTHER,2B86092F-6D16-4758-A132-139B4C669CEF,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,51273B13-474F-4467-A51B-82424C63292A,DISABLING,TWELVE OCLOCK,VAN,MAKING LEFT TURN,North,35,2020,DODGE
MCP30910046,230062516,Montgomery County Police,Injury Crash,10/25/2023 14:00,SAME DIRECTION SIDESWIPE,44F2F5D6-0416-405F-A6F8-918EA2A28A89,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,DE659897-0BB7-4DEC-95D0-29B3966C9ACE,SUPERFICIAL,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,2021,KIA
MCP2966006R,230046514,Montgomery County Police,Property Damage Crash,7/27/2023 18:23,SAME DIR REAR END,4C5C5B00-4C95-4590-9588-7C2B8289EBB1,No,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,MD,57192CD6-B841-45D6-8D5F-DB031BBFC6FE,SUPERFICIAL,SIX OCLOCK,POLICE VEHICLE/NON EMERGENCY,SLOWING OR STOPPING,North,65,2018,CHEVROLET
MCP33290022,230059157,Montgomery County Police,Property Damage Crash,10/7/2023 17:02,HEAD ON LEFT TURN,A9E7A6C1-FEBA-4AF8-8E7A-0F37E3438EEC,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,68CB9BEB-95B8-4D84-AAC5-486F8F3F5A31,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,55,2023,TESLA
MCP28450089,230073103,Montgomery County Police,Injury Crash,12/22/2023 10:00,SAME DIR REAR END,4E7A1C20-46BD-4B77-8F02-525D0C32291B,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,84065C7A-5BB2-41BD-BC6C-838829C67F8A,DESTROYED,SIX OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,55,2018,MAZDA
MCP3274001R,230034495,Montgomery County Police,Property Damage Crash,7/20/2023 7:36,SAME DIR REAR END,50692747-3EE1-4C56-B3B9-B519037F501D,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,PA,606436EA-960A-4379-B651-76BF07E8FA4D,DISABLING,TWELVE OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MOVING CONSTANT SPEED,South,35,2019,NISS
MCP94420030,230023213,Montgomery County Police,Property Damage Crash,5/15/2023 8:08,OTHER,B0E0BFC3-5061-404E-BF72-45400D8D7407,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,D602E136-42F1-4E8B-AAD9-24CF4C89FD56,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,PASSING,North,10,2006,TOYOTA
MCP3201004W,230064699,Montgomery County Police,Property Damage Crash,10/26/2023 19:40,SAME DIR REND LEFT TURN,E2E25B62-5D73-4EE0-9A74-CE2A93D1FB03,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,0DB509A5-9DFC-443C-9DC6-C9E6FB8CA2A3,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,25,2013,BMW
MCP913000G5,230034860,Montgomery County Police,Injury Crash,7/22/2023 6:28,SAME DIR REAR END,4A13A249-6C2E-483F-A6F6-5D632824950B,Yes,SUSPECTED MINOR INJURY,N/A,LOOKED BUT DID NOT SEE,MD,44F12629-A05B-4219-A9A3-68DE29298A35,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,2017,TOYOTA
MCP3372001V,230065250,Montgomery County Police,Property Damage Crash,11/10/2023 20:24,SAME DIR REAR END,EE17C35B-6F03-437D-A3B3-44B56382E57E,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,928F1DA7-45EE-4AD9-B8CA-BFFC974EDD89,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,2015,HONDA
MCP27610051,230069444,Montgomery County Police,Property Damage Crash,12/2/2023 9:45,SAME DIR REAR END,FEBCB30E-B954-4A10-88D1-950D0172F557,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,0A29A781-8F63-4AC0-92F6-F4B248BE9FD8,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,2021,HONDA
MCP1205009R,230057634,Montgomery County Police,Property Damage Crash,9/30/2023 7:11,STRAIGHT MOVEMENT ANGLE,4B08315F-D0E7-4DE1-A352-BE7F2192299E,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B8A6B5C7-6A74-48FA-9272-22E6DA0CC6A1,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,30,2018,TOYOTA
MCP3228005J,230070905,Montgomery County Police,Property Damage Crash,12/10/2023 11:30,SAME DIR REAR END,EBE7AE80-3C11-4272-B92B-CFFFE07799E1,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,97A60F1D-58BA-4BF2-B2FE-7A7EED9C4B52,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SKIDDING,North,50,2005,TOYT
HA24200001,23002031,Maryland-National Capital,Property Damage Crash,10/23/2023 6:15,SINGLE VEHICLE,EC6DE3AC-3963-4132-87C0-E8B459790900,Yes,NO APPARENT INJURY,"DEBRIS OR OBSTRUCTION, N/A",NOT DISTRACTED,XX,FEDFC1E1-3394-4D4E-AA56-87CB41DED243,FUNCTIONAL,SIX OCLOCK,POLICE VEHICLE/NON EMERGENCY,PARKING,South,5,2018,CHRYS
DD5612004C,230057874,Rockville Police Departme,Injury Crash,10/1/2023 14:38,SAME DIRECTION RIGHT TURN,C7CFD20C-AA55-4551-8B94-A6FDBB2C845B,Yes,POSSIBLE INJURY,N/A,LOOKED BUT DID NOT SEE,MD,ED015677-68DC-4BB7-AF45-48FD44FBCCDE,DISABLING,ELEVEN OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,South,25,2023,YAMA
MCP2780007H,230071164,Montgomery County Police,Injury Crash,12/11/2023 18:30,STRAIGHT MOVEMENT ANGLE,50006682-A4B8-4A9E-BBDD-6809FC9439CA,Yes,POSSIBLE INJURY,N/A,LOOKED BUT DID NOT SEE,MD,BE239737-0D17-4475-BBE5-E552670376EB,FUNCTIONAL,THREE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,West,15,2009,LEXUS
MCP30900073,230051408,Montgomery County Police,Property Damage Crash,8/26/2023 2:20,HEAD ON,A8F69B9C-0262-4296-B2E5-A9F5DA34ED47,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MD,B4E9D744-725F-407C-BFDF-FB3B44C5C76C,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,2020,TOYOTA
EJ78880050,230054114,Gaithersburg Police Depar,Property Damage Crash,9/10/2023 16:10,SAME DIRECTION SIDESWIPE,6F345AF3-8BF9-40A7-9EFE-56ABAF537FBE,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,BDD94D09-1BF8-42A2-91A7-A022C8710F03,FUNCTIONAL,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,50,2020,FORD
MCP3170003T,230074035,Montgomery County Police,Property Damage Crash,12/28/2023 15:01,SAME DIR REAR END,D0DD545C-4086-417E-8873-AEA72F1015AF,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4E5B747C-E424-43B8-8E17-19CB398D277D,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,30,2007,LEXUS
MCP2871009B,230068115,Montgomery County Police,Property Damage Crash,11/24/2023 20:18,SAME DIR REAR END,3DC529E9-7B4F-433B-A459-2F0B7A53EF04,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,AE70FBB5-B9D3-435C-AFE1-B305539A6EE9,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,35,2010,LEXS
MCP3009006V,230061811,Montgomery County Police,Injury Crash,10/21/2023 13:25,STRAIGHT MOVEMENT ANGLE,170326F0-5021-40EA-AE26-A6860B4569C7,Yes,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",NOT DISTRACTED,MD,DA55DBE3-5D7D-4B60-BEE0-C70AF528F436,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,45,2013,VOLKSWAGEN
MCP3362001W,230056128,Montgomery County Police,Injury Crash,9/21/2023 14:56,SAME DIRECTION SIDESWIPE,8E10F5DF-48E0-44FB-B30C-3D53F997A4F3,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,0BCFE2F3-637E-4536-A89E-E3C0321BFF61,SUPERFICIAL,FIVE OCLOCK,PASSENGER CAR,CHANGING LANES,North,45,2003,TOYOTA
MCP3337001X,230057382,Montgomery County Police,Property Damage Crash,9/28/2023 20:03,SAME DIR REAR END,6A2FB135-90C5-478B-8804-05B329E0BD9C,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,0D34757B-DEDD-4973-BE36-3C3834EF6CB9,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,2012,HONDA
EJ7871004Y,210025615,Gaithersburg Police Depar,Property Damage Crash,7/4/2021 0:41,OTHER,BF236038-D483-4A6C-9ECB-4FB9563A7698,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7DC2DDE7-616F-4F5C-9570-7A48470AE989,N/A,SIX OCLOCK,PASSENGER CAR,PARKED,,0,2015,HYUNDAI
MCP27650069,230053707,Montgomery County Police,Property Damage Crash,9/7/2023 18:07,OTHER,EA3AB6AB-BAD9-462B-87C3-317E39252ADC,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,5F8B381C-F6A2-4012-AA96-3A2143987895,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,BACKING,South,5,2014,HONDA
DD5567001M,230068858,Rockville Police Departme,Property Damage Crash,11/29/2023 8:39,SAME DIRECTION SIDESWIPE,728D908E-8093-4767-AC81-1EDA7C80D23C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,2F853057-D0B0-40ED-9C13-D3E8A5C1C71B,SUPERFICIAL,FOUR OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,East,20,2020,THMS
MCP13780150,230046261,Montgomery County Police,Property Damage Crash,7/25/2023 12:15,OTHER,29DFC28C-62DA-4937-B211-E29256C8BF85,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,9EDB5454-F80C-4A7E-9015-C0F8D89A9E96,SUPERFICIAL,SIX OCLOCK,VAN,BACKING,South,30,2018,DODGE
MCP3337001Q,230048827,Montgomery County Police,Property Damage Crash,8/10/2023 23:14,N/A,B6A5D375-5DAC-4FA0-A907-BC5DB2AA8A0D,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,B19EF3EB-AD6B-4892-BCD1-FA1E61892225,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,UNKNOWN,East,25,2003,YUKON
MCP2930003L,230053848,Montgomery County Police,Property Damage Crash,9/8/2023 17:05,OTHER,52A5D39E-D44C-402C-A36E-420BA645C9BC,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,EF7B4504-D8F8-412E-B9B7-9D40EF168E19,SUPERFICIAL,FIVE OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,South,15,2014,THOM
MCP33500013,230052223,Montgomery County Police,Property Damage Crash,8/30/2023 13:10,STRAIGHT MOVEMENT ANGLE,31D9D161-6A1E-48CD-94E5-19AC1AC32A6A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,139206AA-9B5E-4BC6-88E2-9FDAAA539DA1,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,North,20,2014,HOND
MCP241100CF,230064376,Montgomery County Police,Property Damage Crash,11/4/2023 12:47,SAME DIR REAR END,F2FCE570-430C-402A-8A9F-F4F6D338EFE3,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F887CA4B-6420-483D-854B-9C5C14EC0FF1,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,40,2017,HYUNDAI
MCP29870082,230052677,Montgomery County Police,Injury Crash,9/1/2023 17:14,STRAIGHT MOVEMENT ANGLE,F54830CE-4DF7-4D03-9A3B-855618EE16C9,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,4FE4250F-F321-465E-8435-7A0B7E9838F5,DESTROYED,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,2013,HONDA
MCP2962008L,230069303,Montgomery County Police,Injury Crash,12/1/2023 13:35,STRAIGHT MOVEMENT ANGLE,95FCFD28-4EA6-4DDB-B899-759861FBABA3,Yes,SUSPECTED MINOR INJURY,"N/A, RAIN, SNOW",UNKNOWN,MD,BE9713E8-24BF-4409-B9DC-E791FE466C0B,DISABLING,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,25,2018,HYUNDAI
MCP3403000B,230070456,Montgomery County Police,Injury Crash,12/7/2023 17:40,STRAIGHT MOVEMENT ANGLE,26623014-EAA6-492B-A1A3-1BC2A9440089,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,D4E892E2-BF2B-44C7-8E8A-BFC7F6D8368D,NO DAMAGE,ONE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,South,30,2006,TOYOTA
EJ78730084,230055950,Gaithersburg Police Depar,Property Damage Crash,9/20/2023 14:00,OTHER,01F96E08-69B5-4BEB-A18A-8915C4AB217C,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,,D8083018-84D7-438E-9EF5-26F7ECE26AF7,UNKNOWN,SEVEN OCLOCK,PASSENGER CAR,BACKING,South,5,2021,TOYOTA
